"concept"	"list"	"set.number"	"response.number"	"right.answer"	"x"	"n"	"p"	"lower"	"upper"	"p.value"
"hg08"	"L2"	16	1	TRUE	19	20	0.95	NA	NA	NA
"hg08"	"L2"	16	2	FALSE	0	22	0	NA	NA	NA
"hg08"	"L2"	16	3	TRUE	22	22	1	NA	NA	NA
"hg08"	"L2"	17	1	TRUE	20	22	0.909090909090909	NA	NA	NA
"hg08"	"L2"	18	1	FALSE	0	19	0	NA	NA	NA
"hg08"	"L2"	18	2	TRUE	19	19	1	NA	NA	NA
"hg08"	"L2"	18	3	TRUE	19	19	1	NA	NA	NA
"hg08"	"L2"	18	4	TRUE	22	22	1	NA	NA	NA
"hg08"	"L2"	19	1	TRUE	22	22	1	NA	NA	NA
"hg08"	"L2"	19	2	TRUE	22	22	1	NA	NA	NA
"hg08"	"L2"	19	3	TRUE	21	22	0.954545454545455	NA	NA	NA
"hg08"	"L2"	19	4	TRUE	22	22	1	NA	NA	NA
"hg08"	"L2"	19	5	TRUE	22	22	1	NA	NA	NA
"hg08"	"L2"	20	1	TRUE	21	22	0.954545454545455	NA	NA	NA
"hg08"	"L2"	21	1	TRUE	21	21	1	NA	NA	NA
"hg08"	"L2"	21	2	TRUE	21	22	0.954545454545455	NA	NA	NA
"hg08"	"L2"	21	3	FALSE	0	21	0	NA	NA	NA
"hg08"	"L2"	21	4	FALSE	0	21	0	NA	NA	NA
"hg08"	"L2"	21	5	TRUE	21	21	1	NA	NA	NA
"hg08"	"L2"	22	1	TRUE	22	22	1	NA	NA	NA
"hg08"	"L2"	22	2	TRUE	22	22	1	NA	NA	NA
"hg08"	"L2"	22	3	TRUE	22	22	1	NA	NA	NA
"hg08"	"L2"	23	1	TRUE	22	22	1	NA	NA	NA
"hg08"	"L2"	23	2	TRUE	22	22	1	NA	NA	NA
"hg08"	"L2"	24	1	FALSE	0	22	0	NA	NA	NA
"hg08"	"L2"	24	2	TRUE	22	22	1	NA	NA	NA
"hg08"	"L2"	24	3	FALSE	0	22	0	NA	NA	NA
"hg08"	"L2"	24	4	TRUE	22	22	1	NA	NA	NA
"hg08"	"L2"	24	5	FALSE	0	22	0	NA	NA	NA
"hg08"	"L2"	25	1	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	1	1	FALSE	16	22	0.727272727272727	NA	NA	NA
"hg09"	"L2"	2	1	FALSE	9	22	0.409090909090909	NA	NA	NA
"hg09"	"L2"	2	2	FALSE	13	22	0.590909090909091	NA	NA	NA
"hg09"	"L2"	3	1	TRUE	12	22	0.545454545454545	NA	NA	NA
"hg09"	"L2"	3	2	FALSE	6	22	0.272727272727273	NA	NA	NA
"hg09"	"L2"	3	3	FALSE	8	22	0.363636363636364	NA	NA	NA
"hg09"	"L2"	3	4	FALSE	11	22	0.5	NA	NA	NA
"hg09"	"L2"	3	5	FALSE	8	22	0.363636363636364	NA	NA	NA
"hg09"	"L2"	4	1	FALSE	5	22	0.227272727272727	NA	NA	NA
"hg09"	"L2"	4	2	FALSE	2	22	0.090909090909091	NA	NA	NA
"hg09"	"L2"	4	3	FALSE	5	22	0.227272727272727	NA	NA	NA
"hg09"	"L2"	4	4	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg09"	"L2"	5	1	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg09"	"L2"	5	2	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg09"	"L2"	5	3	FALSE	3	22	0.136363636363636	NA	NA	NA
"hg09"	"L2"	5	4	FALSE	2	22	0.090909090909091	NA	NA	NA
"hg09"	"L2"	6	1	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg09"	"L2"	6	2	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg09"	"L2"	6	3	FALSE	2	22	0.090909090909091	NA	NA	NA
"hg09"	"L2"	6	4	FALSE	3	22	0.136363636363636	NA	NA	NA
"hg09"	"L2"	7	1	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg09"	"L2"	8	1	TRUE	12	22	0.545454545454545	NA	NA	NA
"hg09"	"L2"	8	2	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg09"	"L2"	8	3	FALSE	2	22	0.090909090909091	NA	NA	NA
"hg09"	"L2"	9	1	FALSE	2	22	0.090909090909091	NA	NA	NA
"hg09"	"L2"	9	2	FALSE	3	22	0.136363636363636	NA	NA	NA
"hg09"	"L2"	9	3	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	10	1	TRUE	21	22	0.954545454545455	NA	NA	NA
"hg09"	"L2"	10	2	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg09"	"L2"	10	3	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg09"	"L2"	11	1	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	11	2	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	11	3	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	11	4	TRUE	19	22	0.863636363636364	NA	NA	NA
"hg09"	"L2"	12	1	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	12	2	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	12	3	TRUE	21	22	0.954545454545455	NA	NA	NA
"hg09"	"L2"	13	1	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg09"	"L2"	13	2	TRUE	21	22	0.954545454545455	NA	NA	NA
"hg09"	"L2"	13	3	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg09"	"L2"	14	1	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	14	2	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg09"	"L2"	14	3	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	14	4	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg09"	"L2"	14	5	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg09"	"L2"	15	1	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	15	2	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	15	3	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	16	1	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	16	2	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	17	1	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg09"	"L2"	18	1	TRUE	20	22	0.909090909090909	NA	NA	NA
"hg09"	"L2"	18	2	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	18	3	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	18	4	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg09"	"L2"	18	5	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	19	1	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	19	2	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg09"	"L2"	19	3	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	19	4	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	19	5	FALSE	2	22	0.090909090909091	NA	NA	NA
"hg09"	"L2"	20	1	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg09"	"L2"	20	2	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	20	3	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	21	1	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	21	2	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	22	1	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	22	2	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	22	3	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg09"	"L2"	22	4	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	23	1	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	23	2	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	24	1	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	25	1	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	25	2	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg09"	"L2"	25	3	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	25	4	FALSE	0	22	0	NA	NA	NA
"hg09"	"L2"	25	5	FALSE	0	22	0	NA	NA	NA
"hg10"	"L2"	1	1	FALSE	14	23	0.608695652173913	NA	NA	NA
"hg10"	"L2"	1	2	TRUE	8	23	0.347826086956522	NA	NA	NA
"hg10"	"L2"	2	1	FALSE	4	23	0.173913043478261	NA	NA	NA
"hg10"	"L2"	2	2	FALSE	3	23	0.130434782608696	NA	NA	NA
"hg10"	"L2"	2	3	FALSE	10	23	0.434782608695652	NA	NA	NA
"hg10"	"L2"	3	1	FALSE	13	23	0.565217391304348	NA	NA	NA
"hg10"	"L2"	3	2	FALSE	12	23	0.521739130434783	NA	NA	NA
"hg10"	"L2"	4	1	FALSE	1	23	0.0434782608695652	NA	NA	NA
